,genome_id,Actual,Predicted,Category
448,3300029763_7,Cultured,Uncultured,FN
449,3300023054_4,Uncultured,Uncultured,TN
450,3300020179_51,Uncultured,Uncultured,TN
451,3300017958_43,Uncultured,Uncultured,TN
452,3300000262_3,Uncultured,Uncultured,TN
453,3300026802_1,Uncultured,Uncultured,TN
454,3300027353_8,Uncultured,Uncultured,TN
455,3300009779_21,Uncultured,Uncultured,TN
456,3300026211_15,Uncultured,Uncultured,TN
457,3300025597_50,Uncultured,Uncultured,TN
458,3300012271_9,Uncultured,Uncultured,TN
459,3300026084_3,Uncultured,Uncultured,TN
460,3300029845_18,Uncultured,Uncultured,TN
461,3300026516_43,Uncultured,Uncultured,TN
462,3300001683_37,Uncultured,Uncultured,TN
463,3300020592_9,Uncultured,Uncultured,TN
464,3300008744_25,Uncultured,Uncultured,TN
465,3300027819_124,Uncultured,Uncultured,TN
466,3300013497_7,Cultured,Uncultured,FN
467,3300011713_6,Uncultured,Uncultured,TN
468,3300029136_10,Cultured,Uncultured,FN
469,3300027828_28,Uncultured,Uncultured,TN
470,3300008639_30,Cultured,Uncultured,FN
471,3300013132_45,Uncultured,Uncultured,TN
472,3300013829_1,Uncultured,Uncultured,TN
473,3300010263_24,Uncultured,Uncultured,TN
474,3300029390_7,Cultured,Uncultured,FN
475,3300007316_4,Cultured,Uncultured,FN
476,3300025545_14,Uncultured,Uncultured,TN
477,3300029891_10,Uncultured,Uncultured,TN
478,3300028265_1,Cultured,Uncultured,FN
479,3300012810_1,Uncultured,Uncultured,TN
480,3300024901_2,Cultured,Uncultured,FN
481,3300011879_5,Uncultured,Uncultured,TN
482,3300029195_12,Uncultured,Uncultured,TN
483,3300017658_13,Uncultured,Uncultured,TN
484,3300026821_3,Uncultured,Uncultured,TN
485,3300008077_11,Cultured,Uncultured,FN
486,3300025681_17,Uncultured,Uncultured,TN
487,3300010882_20,Uncultured,Uncultured,TN
488,3300025708_17,Uncultured,Uncultured,TN
489,3300020332_7,Uncultured,Uncultured,TN
